Vornamenhitliste für OPEN DATA;;
;;
2015;;
Rangfolge;Mädchen;Jungen
1;Sophie;Elias 
2;Marie;David
3;Maria;Alexander
4;Emilia;Samuel
5;Emma;Maximilian
6;Sophia;Noah
7;Lina ;Felix
8;Mia;Paul
9;Elif;Jonathan
10;Anna;Ali
11;Johanna;Jonas
12;Mila;Leon
13;Charlotte;Jakob
14;Lena;Ben 
15;Marlene;Tim
16;Hannah;Emil
17;Lara;Gabriel
18;Laura;Christian
19;Emily;Daniel
20;Leonie;Jan 
21;Hanna;Luis
22;Luisa;Lukas
23;Luise;Malik
24;Julia;Julius
25;Lisa;Louis
26;Elisa;Luca
27;Elisabeth;Valentin
28;Klara;Finn
29;Lea;Max
30;Sofia;Michael
